Round,CNN_Accuracy,SVM_Accuracy,Ensemble_Accuracy,Loss,Precision,Recall,F1,Confusion_Matrix
1,0.8092243186582809,0.8218029350104822,0.8364779874213837,0.5968494533378552,0.8445835876086417,0.8364779874213837,0.8067266104368941,"[[332, 1, 1, 0, 0], [9, 30, 3, 0, 0], [14, 1, 13, 7, 0], [9, 0, 0, 21, 0], [2, 18, 4, 9, 3]]"
2,0.909853249475891,0.9014675052410901,0.9014675052410901,0.0,0.9224214394562268,0.9014675052410901,0.8977704463628289,"[[331, 0, 2, 1, 0], [3, 27, 0, 2, 10], [3, 0, 14, 15, 3], [0, 0, 0, 30, 0], [2, 0, 0, 6, 28]]"
3,0.9580712788259959,0.949685534591195,0.9350104821802935,0.0,0.93890724190871,0.9350104821802935,0.9326970925360826,"[[331, 0, 3, 0, 0], [10, 29, 1, 1, 1], [1, 0, 30, 4, 0], [0, 0, 1, 29, 0], [5, 0, 2, 2, 27]]"
4,0.9517819706498952,0.9475890985324947,0.9224318658280922,0.0,0.9222673867697915,0.9224318658280922,0.91609784940825,"[[332, 1, 1, 0, 0], [3, 33, 1, 0, 5], [18, 0, 17, 0, 0], [5, 0, 1, 24, 0], [2, 0, 0, 0, 34]]"
5,0.9622641509433962,0.9454926624737946,0.9454926624737946,0.0,0.9570750698893519,0.9454926624737946,0.9481830293876511,"[[324, 2, 8, 0, 0], [0, 38, 1, 0, 3], [1, 1, 33, 0, 0], [1, 0, 6, 23, 0], [0, 0, 3, 0, 33]]"
6,0.9622641509433962,0.9559748427672956,0.9580712788259959,0.0,0.9623958062754777,0.9580712788259959,0.9586167124107424,"[[329, 0, 2, 3, 0], [0, 39, 1, 1, 1], [1, 2, 28, 4, 0], [0, 0, 0, 30, 0], [1, 2, 0, 2, 31]]"
7,0.9643605870020965,0.9517819706498952,0.9245283018867925,0.0,0.9292056868707812,0.9245283018867925,0.920352366474045,"[[332, 0, 2, 0, 0], [15, 26, 0, 0, 1], [6, 0, 29, 0, 0], [6, 0, 1, 23, 0], [5, 0, 0, 0, 31]]"
8,0.9475890985324947,0.9538784067085954,0.9475890985324947,0.0,0.9541854723245219,0.9475890985324947,0.9461155952693161,"[[330, 0, 2, 2, 0], [4, 27, 1, 2, 8], [0, 0, 31, 4, 0], [0, 0, 0, 30, 0], [1, 0, 0, 1, 34]]"
9,0.9727463312368972,0.9664570230607966,0.9769392033542977,0.0,0.9775338971091617,0.9769392033542977,0.9768620679417402,"[[333, 0, 1, 0, 0], [0, 38, 1, 1, 2], [1, 0, 32, 2, 0], [0, 0, 0, 30, 0], [1, 1, 0, 1, 33]]"
10,0.9622641509433962,0.960167714884696,0.960167714884696,0.0,0.9616509542473448,0.960167714884696,0.9600169361787793,"[[333, 0, 1, 0, 0], [0, 39, 1, 0, 2], [2, 3, 30, 0, 0], [0, 1, 4, 24, 1], [1, 3, 0, 0, 32]]"
11,0.9727463312368972,0.9706498951781971,0.9685534591194969,0.11188434809800928,0.9698686349629746,0.9685534591194969,0.9687795491715993,"[[331, 0, 3, 0, 0], [0, 36, 1, 1, 4], [0, 1, 34, 0, 0], [0, 0, 2, 28, 0], [0, 2, 0, 1, 33]]"
12,0.9517819706498952,0.949685534591195,0.949685534591195,0.0,0.9579221479435711,0.949685534591195,0.9471485075867303,"[[333, 0, 1, 0, 0], [0, 40, 1, 0, 1], [0, 3, 32, 0, 0], [1, 5, 9, 15, 0], [0, 3, 0, 0, 33]]"
13,0.9643605870020965,0.960167714884696,0.9517819706498952,0.0,0.9538991230726668,0.9517819706498952,0.9513314922331905,"[[329, 0, 2, 3, 0], [0, 36, 1, 1, 4], [6, 0, 26, 3, 0], [1, 0, 0, 29, 0], [0, 1, 0, 1, 34]]"
14,0.960167714884696,0.9517819706498952,0.960167714884696,0.0,0.9622764434377716,0.960167714884696,0.960534653774922,"[[331, 0, 2, 1, 0], [0, 36, 1, 0, 5], [1, 3, 30, 0, 1], [0, 0, 0, 27, 3], [1, 1, 0, 0, 34]]"
15,0.9748427672955975,0.9769392033542977,0.9706498951781971,0.0,0.9705224183154688,0.9706498951781971,0.9702006425677656,"[[333, 0, 1, 0, 0], [1, 37, 1, 1, 2], [3, 0, 31, 1, 0], [0, 0, 0, 30, 0], [1, 2, 0, 1, 32]]"
16,0.9622641509433962,0.9643605870020965,0.9664570230607966,0.0,0.9688370678936716,0.9664570230607966,0.9661545073402701,"[[333, 0, 1, 0, 0], [1, 40, 0, 0, 1], [1, 1, 33, 0, 0], [1, 0, 6, 23, 0], [0, 4, 0, 0, 32]]"
17,0.9832285115303984,0.9769392033542977,0.9748427672955975,0.0,0.9752368700481908,0.9748427672955975,0.9748109743585766,"[[333, 0, 1, 0, 0], [0, 39, 1, 0, 2], [1, 1, 33, 0, 0], [2, 1, 0, 27, 0], [0, 3, 0, 0, 33]]"
18,0.9538784067085954,0.9559748427672956,0.960167714884696,0.1874956908309895,0.9635646103477665,0.960167714884696,0.9604058361232584,"[[329, 4, 1, 0, 0], [0, 39, 1, 0, 2], [1, 2, 32, 0, 0], [0, 1, 4, 23, 2], [0, 1, 0, 0, 35]]"
19,0.9874213836477987,0.9790356394129979,0.9790356394129979,0.0,0.979120188105462,0.9790356394129979,0.978873604970037,"[[333, 0, 1, 0, 0], [1, 39, 1, 0, 1], [0, 0, 34, 1, 0], [0, 0, 1, 29, 0], [2, 2, 0, 0, 32]]"
20,0.9748427672955975,0.9727463312368972,0.9748427672955975,0.0,0.9748316276963308,0.9748427672955975,0.9747481721639657,"[[332, 0, 2, 0, 0], [0, 38, 1, 1, 2], [2, 0, 32, 1, 0], [0, 0, 0, 30, 0], [0, 3, 0, 0, 33]]"
